FIN_YEAR,Year,MONTH,Date,QUARTER,STATE,FG,DISTRICT,RAINFALL,COMPANY,VALUE
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Tehri Garhwal,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Dehradun,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Pauri Garhwal,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Bageshwar,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Almora,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Champawat,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Udam Singh Nagar,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Haridwar,44.3,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Uttar Kashi,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Chamoli,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Dehradun,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Bageshwar,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Almora,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Champawat,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Nainital,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Udam Singh Nagar,54.5,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttarakhand,Bactericides,Haridwar,54.5,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttarakhand,Bactericides,Uttar Kashi,62.6,ABC Manufacturing,0
